Year,Avg_Valence,Avg_BPM,Avg_Liveness,Avg_Energy,Events
1930,49.0,130.0,7.0,80.0,"Dandi March, First Round Table Conference, Purna Swaraj Declaration, Yên Bái Mutiny, Establishment of the Indochinese Communist Party, Forced Collectivization by Soviets, Collectivization in Uzbekistan, Forced Sedentarization of Nomads, Vargas Era Begins, Immigration Wave to Argentina"
1942,19.0,96.0,40.0,25.0,"Quit India Movement, Cripps Mission, Establishment of the University of Ceylon, Battle of Stalingrad, Darwin Bombing by Japanese Forces, Kokoda Trail Campaign, Japanese Occupation, Battle of Singapore, Sook Ching Massacre, Surrender of Singapore to Japan, Japanese Occupation of Malaya, Japanese Occupation, Internment of Japanese Canadians, Battle of Stalingrad"
1946,22.0,139.0,11.0,15.0,"First Indochina War Begins, Formation of the United Malays National Organisation, Italian Republic Established, First Presidency of Juan Domin go Perón"
1950,86.0,143.0,34.0,32.0,"Constitution of India Adopted, Establishment of the Central Bank of Sri Lanka, Korean War Involvement, Construction of Auckland Harbour Bridge, Korean War, Korean War, Maria Hertogh Riots"
1952,81.0,140.0,15.0,36.0,"Mau Mau Uprising, Egyptian Revolution of 1952"
1957,86.0,147.0,8.0,35.5,"Launch of Sputnik 1, Independence from the United Kingdom, Signing of the Treaty of Rome, Signing of the Treaty of Rome, Ghana's Independence"
1958,83.66666666666667,135.0,22.333333333333332,48.0,"Great Leap Forward, 14 July Revolution, 1958 Iraqi Revolution, Establishment of the Fifth Republic, Independence from France"
1959,84.0,120.5,13.0,30.0,"SelfUnknowngovernance Achieved, Suvadive Rebellion"
1963,65.0,140.0,17.333333333333332,71.0,"Merger with Malaysia, Formation of Malaysia, March on Washington for Jobs and Freedom, Assassination of President John F. Kennedy, The Big Freeze of 1963, Independence from Britain"
1968,76.0,116.0,13.0,70.0,"The Prague Spring and its Suppression, Pueblo Incident, Tết Offensive, May 1968 Protests, May 1968 Student Protests, Independence from Spain, Independence from Britain"
1970,85.5,129.0,25.5,75.5,"Osaka Expo '70, Oil Revenue Boom, Economic Development"
1971,39.0,147.0,77.0,61.0,"IndoUnknownPakistani War of 1971, East Pakistan demands autonomy, Independence of Bangladesh, New Economic Policy Introduced, Idi Amin's Regime"
1973,24.0,80.0,23.0,43.0,"Oil Crisis and Economic Shift, Sydney Opera House Opens, Sydney Opera House Opens, Paris Peace Accords, Roe v. Wade Supreme Court Decision, Independence from Portugal"
1975,36.5,86.5,22.5,56.5,"Emergency Declared by Indira Gandhi, Perestroika and Glasnost Reforms, Introduction of the Universal Health Care System, Whitlam Government's Dismissal, Whitlam Government Dismissal, Treaty of Waitangi Act 1975, Waitangi Tribunal Established, Auckland Harbour Bridge Protests, Fall of Saigon, Transition to Democracy, Spanish Transition to Democracy, Independence from Portugal, Independence from Portugal, Independence from France, Independence from Portugal"
1979,74.0,95.0,9.0,58.0,"OneUnknownChild Policy Introduced, SovietUnknownAfghan War, Juhayman alUnknownOtaybi's Seizure of the Grand Mosque, Speak Mandarin Campaign Launched, 1979 Iranian Revolution"
1982,56.0,148.0,25.5,62.5,"Sigiriya Designated as a UNESCO World Heritage Site, Canada Act 1982 (Patriation of the Constitution), Patriation of the Canadian Constitution, Falklands War, Falklands War"
1983,73.0,117.0,7.0,45.0,"Historic Win in Cricket World Cup 1983, 1983 Black July Riots, Cable Car Disaster, August Revolution, Return to Democracy"
1984,72.0,101.75,23.75,74.75,"Operation Blue Star, Bhopal Gas Tragedy, Siachen Glacier Conflict, Rogernomics Initiatives Begin, Direct Elections Now Campaign"
1985,37.0,110.0,8.5,68.0,Japan Airlines Flight 123
1986,73.0,142.5,19.0,70.5,"ChinaUnknownPakistan Friendship Highway Completion, Chernobyl Nuclear Disaster, Australia Act 1986, Australia Acts 1986, ANZUS Treaty Suspension, Homosexual Law Reform Act, Decriminalization of Homosexuality, Hotel New World Collapse, Execution of Barlow and Chambers, Challenger Space Shuttle Disaster, Entry into the European Union"
1987,67.0,125.0,10.0,90.0,"1987 IndoUnknownSri Lanka Accord, Introduction of Nuclear Free Zone, AntiUnknownNuclear Legislation Enacted, 1987 New Zealand Constitution Act, Recognition of the Māori Language, MV Doña Paz Collision, UK Hosts the First Rugby World Cup"
1991,40.5,111.5,11.0,55.5,"Economic Reforms and Liberalization, Dissolution of the Soviet Union, Boris Yeltsin Elected as First President of Russia, Resource Management Act Enacted, Elected Presidency Introduced, Gulf War, Independence from the Soviet Union, Independence from the Soviet Union, Somali Civil War Begins, Movement for Multiparty Democracy"
