streams,bpm,energy_%,speechiness_%
141381703,125,83,4
133716286,92,74,4
140003974,138,53,6
800840817,170,72,15
303236322,144,80,6
183706234,141,58,24
725980112,148,76,3
58149378,100,71,4
95217315,130,62,9
553634067,170,48,33
505671438,83,72,5
58255150,150,82,7
1316855716,118,68,7
387570742,130,43,3
2513188493,174,73,6
1163093654,89,73,4
496795686,120,59,3
30546883,78,9,3
335222234,100,66,16
363369738,120,73,4
86444842,140,74,4
52135248,123,76,3
1297026226,135,42,3
200647221,133,67,5
115364561,99,68,20
78300654,130,86,9
899183384,107,80,4
61245289,122,71,4
429829812,204,68,4
127408954,110,85,5
22581161,126,84,6
52294266,168,87,5
843957510,98,61,5
999748277,97,63,5
618990393,180,63,28
123122413,120,68,4
188933502,150,73,3
1355959075,96,68,6
786181836,95,79,4
176553476,125,85,6
354495408,144,65,6
2808096550,90,50,5
1109433169,128,97,4
1047101291,79,56,10
65156199,144,58,25
570515054,122,64,3
1085685420,140,81,5
1647990401,134,52,7
2565529693,186,59,28
518745108,67,53,7
107753850,106,64,5
177740666,128,91,3
153372011,107,70,7
57876440,130,88,4
1813673666,123,54,4
3703895074,171,80,7
256483385,137,72,5
1214083358,125,68,4
16011326,128,72,19
812019557,130,58,4
111947664,130,96,5
156338624,133,81,5
720434240,101,59,3
357925728,95,64,14
674072710,98,59,29
1755214421,173,66,3
404562836,90,62,7
373199958,198,42,7
14780425,140,73,4
39578178,82,53,3
54266102,130,89,5
2557975762,81,53,9
751134527,94,59,3
2282771485,124,81,3
1356565093,128,78,4
1592909789,138,62,3
635412045,132,48,3
1230675890,131,47,9
585695368,168,73,7
43857627,98,79,6
2009094673,102,73,4
600976848,101,57,3
39709092,130,34,9
39228929,142,64,3
2665343922,170,76,5
223633238,124,68,4
2887241814,110,41,3
1440757818,92,71,8
165484133,116,66,7
58054811,129,82,7
157058870,98,60,3
95131998,172,76,9
250305248,150,76,4
685032533,136,53,4
38411956,88,47,4
144565150,143,44,33
127567540,100,35,3
399686758,143,55,13
983637508,112,66,3
118482347,93,59,3
882831184,206,55,10
286400165,88,71,5
172825906,170,90,5
1241559043,84,67,28
29562220,134,72,5
77309611,158,40,6
1605224506,116,80,3
1116995633,117,69,3
838079900,114,72,5
1163620694,108,68,3
1093605526,144,53,10
179659294,130,44,3
39058561,116,62,3
36912123,121,78,4
1205951614,112,81,6
1791000570,100,52,33
201660859,150,78,8
248088961,120,71,17
90839753,127,85,6
607123776,90,61,3
55842345,128,63,4
211050784,143,87,4
342897938,139,68,4
2762,162,64,4
330346424,92,60,3
601863821,95,55,7
1953533826,146,93,8
2322580122,95,82,5
2355719893,115,30,3
66902503,128,65,5
96273746,130,83,5
430977451,127,77,4
284819874,150,86,9
721975598,122,63,5
1217120710,140,85,5
109276132,140,54,8
276259178,119,53,34
54225632,110,72,4
2559529074,95,45,2
681583126,132,55,3
2594040133,125,78,11
81102253,124,50,6
11956641,133,65,25
1687664027,112,66,9
11599388,97,89,5
611700552,90,48,11
1133865788,80,69,4
1089402494,172,59,3
411747614,120,35,3
255932395,140,80,5
31873544,128,77,5
95053634,122,81,5
1279434863,130,92,24
233801632,160,71,20
1481349984,144,70,5
142095275,192,52,6
618885532,163,67,17
2011464183,122,71,4
1167330737,154,74,6
929964809,117,69,4
436027885,138,83,5
657723613,96,80,6
2713922350,104,63,5
621660989,164,62,3
1591223784,118,82,3
950906471,81,60,10
1593270737,117,45,3
1410088830,174,37,4
1235005533,128,77,4
1661187319,145,27,4
1374581173,150,55,3
94186466,90,53,4
1788326445,85,53,3
1840364617,180,71,5
143573775,166,94,9
684675814,160,50,22
1113838873,160,80,16
1267333350,92,63,4
726307468,170,64,6
3562543890,96,65,8
1131090940,120,52,4
307370144,98,54,8
1271293243,92,34,4
265882712,150,56,3
841749534,94,47,3
47956378,90,63,5
806397070,160,55,11
2132335812,120,75,4
1641426668,109,85,5
2135158446,129,66,5
367316268,157,60,5
350381515,130,73,3
1264310836,107,72,25
30343206,146,89,8
405136812,139,41,10
1145727611,116,70,3
540654286,95,77,4
57312735,170,80,7
397582059,134,64,11
1479115056,84,90,5
86773632,146,48,6
133753727,74,67,28
123124076,144,48,12
463564958,136,73,10
64533040,100,55,4
65496046,105,78,33
68616963,106,78,4
161460990,132,68,4
70106975,120,30,5
113509496,155,39,49
89933133,129,43,3
71007139,135,74,9
43522589,98,62,13
232896922,124,39,4
37126685,135,55,15
195576623,107,53,6
